wc_on_1	wc_off_1	wcdf_on_1	wcdf_off_1	wc_on_10	wc_off_10	wcdf_on_10	wcdf_off_10
Cycles of 1 Port Utilized	12.1	14.9	9.2	11.6	14.8	11.5	6.7	10.4
Cycles of 2 Ports Utilized	16.1	16.4	9.1	11.1	20.2	15.4	9.7	9.8
Cycles of 3+ Ports Utilized	33.8	31.6	16.2	18.9	42.1	32.6	17.1	17.8
Port 0	23.1	22	13.4	16.4	27.5	27.2	15.2	14.5
Port 1	21	20.6	15.5	19.4	24.7	24.7	16.4	17.1
Port 2	36.2	31.5	26.1	35.2	35.4	35.8	26.6	24.9
Port 3	37	32.2	27	36.3	36.4	36.7	27.4	26.3
Port 4	25.4	22.5	17.5	24.9	25.1	25.2	18.5	18
Port 5	20.4	21.2	15.9	20.8	25.2	25.3	17	17.5
Port 6	36.9	37.8	35	41.1	43.2	42.9	35	35.5
Port 7	14.8	13.6	11.3	15.5	14.4	14.8	13	11.8
Vector Capacity Usage (FPU)	0	0	0	0	21.2	21	0	0
Retiring	43.9	42.6	36.6	40.9	52.9	52.1	31.3	26.6
General Retirement	43.2	41.9	35.9	40.3	51.3	50.5	30.6	26
FP Arithmetic	0	0	0	0	0.2	0.2	0	0
FP x87	0	0	0	0	0.1	0.1	0	0
FP Scalar	0	0	0	0	0.2	0.1	0	0
FP Vector	0	0	0	0	0	0	0	0
Other	100	100	100	100	99.8	99.8	100	100
Microcode Sequencer	0.7	0.7	0.7	0.6	1.6	1.6	0.7	0.6
Assists	0	0	0	0	0	0	0	0
Total Thread Count	282	286	127	126	1341	1351	125	128
Paused Time	0	0	0	0	0	0	0	0
Frame Count	18	19	4	4	37	37	4	4
